| date | open | last | high | low | volume | amount | exchange |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 2021-01-04 | 3632.69 | 3643.36 | 3659.17 | 3608.34 | 43546644 | 116996100096 | 0.27 |
| 2021-01-05 | 3627.65 | 3683.36 | 3683.36 | 3620.56 | 47233743 | 130233794560 | 0.29 |
| 2021-01-06 | 3688.95 | 3736.65 | 3736.65 | 3670.54 | 45166106 | 125368283136 | 0.28 |
| 2021-01-07 | 3750.88 | 3808.07 | 3808.07 | 3729.99 | 42918063 | 127100878848 | 0.27 |
| 2021-01-08 | 3815.57 | 3788.32 | 3833.86 | 3752.09 | 41585644 | 129477193728 | 0.26 |
| 2021-01-11 | 3794.83 | 3776.53 | 3849.68 | 3763.15 | 47451000 | 133463535616 | 0.29 |
| 2021-01-12 | 3764.65 | 3906.12 | 3906.12 | 3764.65 | 48175867 | 140450394112 | 0.30 |
| 2021-01-13 | 3914.00 | 3873.23 | 3931.95 | 3844.28 | 55273848 | 147747549184 | 0.34 |
| 2021-01-14 | 3863.10 | 3811.22 | 3866.95 | 3800.79 | 50868859 | 141810909184 | 0.32 |
| 2021-01-15 | 3825.54 | 3817.93 | 3866.01 | 3789.48 | 55635244 | 144481906688 | 0.34 |
| 2021-01-18 | 3807.99 | 3849.40 | 3873.45 | 3796.43 | 42248384 | 121227239424 | 0.26 |
| 2021-01-19 | 3855.75 | 3808.69 | 3862.11 | 3792.59 | 42747056 | 123416506368 | 0.26 |
| 2021-01-20 | 3813.91 | 3814.65 | 3838.31 | 3790.54 | 34372343 | 105285955584 | 0.21 |
| 2021-01-21 | 3833.78 | 3850.06 | 3874.67 | 3812.81 | 36730229 | 119776907264 | 0.23 |
| 2021-01-22 | 3851.13 | 3846.39 | 3862.89 | 3823.33 | 38259480 | 119198773248 | 0.24 |
| 2021-01-25 | 3843.49 | 3898.15 | 3903.19 | 3828.75 | 37336501 | 136340713472 | 0.23 |
| 2021-01-26 | 3878.25 | 3813.29 | 3878.25 | 3809.66 | 29584420 | 100532289536 | 0.18 |
| 2021-01-27 | 3818.42 | 3818.27 | 3831.62 | 3790.81 | 28706054 | 92127166464 | 0.18 |
| 2021-01-28 | 3771.79 | 3735.03 | 3779.41 | 3720.12 | 30041206 | 94780805120 | 0.19 |
| 2021-01-29 | 3758.89 | 3713.25 | 3767.01 | 3675.49 | 32742330 | 104087891968 | 0.20 |
| 2021-02-01 | 3712.78 | 3746.37 | 3747.73 | 3699.20 | 29489016 | 86971858944 | 0.18 |
| 2021-02-02 | 3751.74 | 3771.47 | 3774.06 | 3731.52 | 28858748 | 93715927040 | 0.18 |
| 2021-02-03 | 3768.71 | 3775.72 | 3796.43 | 3747.38 | 31609193 | 106637885440 | 0.20 |
| 2021-02-04 | 3764.43 | 3801.62 | 3820.34 | 3759.43 | 33163780 | 114788319232 | 0.21 |
| 2021-02-05 | 3819.80 | 3840.77 | 3876.68 | 3808.17 | 41583746 | 106277494784 | 0.26 |
| 2021-02-08 | 3856.94 | 3890.47 | 3896.54 | 3835.10 | 33339893 | 98196385792 | 0.21 |
| 2021-02-09 | 3900.86 | 3952.83 | 3952.94 | 3871.79 | 32740059 | 97738059776 | 0.20 |
| 2021-02-10 | 3967.68 | 4028.53 | 4039.23 | 3967.36 | 38958603 | 108571844608 | 0.24 |
| 2021-02-18 | 4097.87 | 4014.32 | 4110.18 | 3996.63 | 51203085 | 141365948416 | 0.32 |
| 2021-02-19 | 3994.83 | 4014.46 | 4023.88 | 3956.98 | 42899726 | 123149832192 | 0.27 |
| 2021-02-22 | 4020.01 | 3881.87 | 4020.01 | 3879.48 | 58726428 | 146967568384 | 0.36 |
| 2021-02-23 | 3854.16 | 3897.72 | 3942.09 | 3854.16 | 43455611 | 108962111488 | 0.27 |
| 2021-02-24 | 3902.36 | 3805.47 | 3910.01 | 3766.60 | 39343931 | 123595530240 | 0.24 |
| 2021-02-25 | 3844.62 | 3851.03 | 3878.21 | 3818.71 | 46688986 | 118907088896 | 0.29 |
| 2021-02-26 | 3768.90 | 3756.86 | 3819.04 | 3753.44 | 41573102 | 113710592000 | 0.26 |
| 2021-03-01 | 3793.37 | 3787.87 | 3795.05 | 3747.58 | 33657707 | 98439376896 | 0.21 |
| 2021-03-02 | 3812.35 | 3718.77 | 3812.35 | 3689.01 | 35216197 | 105470271488 | 0.22 |
| 2021-03-03 | 3710.26 | 3817.41 | 3818.07 | 3708.23 | 36579579 | 95188324352 | 0.23 |
| 2021-03-04 | 3769.97 | 3708.66 | 3781.28 | 3686.09 | 36373718 | 105814126592 | 0.23 |
| 2021-03-05 | 3655.91 | 3688.68 | 3721.28 | 3627.29 | 36137582 | 93870497792 | 0.22 |
| 2021-03-08 | 3713.46 | 3573.43 | 3732.78 | 3571.42 | 41752978 | 109085323264 | 0.26 |
| 2021-03-09 | 3570.26 | 3509.61 | 3595.19 | 3489.97 | 42344061 | 115782443008 | 0.26 |
| 2021-03-10 | 3563.56 | 3532.05 | 3572.37 | 3528.32 | 28096287 | 81698934784 | 0.17 |
| 2021-03-11 | 3554.68 | 3625.31 | 3633.77 | 3554.68 | 31056230 | 87512289280 | 0.19 |
| 2021-03-12 | 3647.51 | 3632.58 | 3647.51 | 3600.39 | 35139699 | 84357910528 | 0.22 |
| 2021-03-15 | 3620.04 | 3566.88 | 3627.31 | 3539.49 | 37488832 | 92278411264 | 0.23 |
| 2021-03-16 | 3579.01 | 3599.16 | 3608.11 | 3556.62 | 28394041 | 72023662592 | 0.18 |
| 2021-03-17 | 3588.23 | 3590.83 | 3616.94 | 3552.49 | 26229565 | 71771533312 | 0.16 |
| 2021-03-18 | 3598.85 | 3605.60 | 3619.33 | 3586.50 | 23406869 | 65113797632 | 0.15 |
| 2021-03-19 | 3565.09 | 3512.02 | 3573.06 | 3496.38 | 34681298 | 77248958464 | 0.21 |
| 2021-03-22 | 3516.66 | 3538.43 | 3558.94 | 3511.72 | 26393423 | 66482002176 | 0.16 |
| 2021-03-23 | 3541.33 | 3516.36 | 3542.82 | 3482.59 | 25310915 | 62380220928 | 0.16 |
| 2021-03-24 | 3507.55 | 3466.04 | 3528.73 | 3457.44 | 25639804 | 64750307584 | 0.16 |
| 2021-03-25 | 3454.46 | 3463.87 | 3479.13 | 3439.51 | 23261828 | 56977955328 | 0.14 |
| 2021-03-26 | 3483.69 | 3529.73 | 3539.23 | 3480.33 | 24810847 | 72681324544 | 0.15 |
| 2021-03-29 | 3543.25 | 3537.71 | 3563.40 | 3510.41 | 28205828 | 73384968192 | 0.17 |
| 2021-03-30 | 3541.38 | 3577.24 | 3582.02 | 3531.63 | 25778955 | 69755084800 | 0.16 |
| 2021-03-31 | 3573.86 | 3539.37 | 3573.86 | 3518.17 | 29985299 | 72720998400 | 0.19 |
| 2021-04-01 | 3547.46 | 3582.65 | 3586.36 | 3545.09 | 21357739 | 55932233984 | 0.13 |
| 2021-04-02 | 3592.88 | 3616.76 | 3616.80 | 3583.04 | 23396735 | 66659662848 | 0.14 |
| 2021-04-06 | 3624.80 | 3594.71 | 3624.80 | 3581.76 | 17974469 | 56451317760 | 0.11 |
| 2021-04-07 | 3593.17 | 3558.47 | 3593.17 | 3537.06 | 22800013 | 62238781440 | 0.14 |
| 2021-04-08 | 3541.06 | 3573.04 | 3582.91 | 3533.32 | 19473454 | 53874853120 | 0.12 |
| 2021-04-09 | 3564.66 | 3514.11 | 3565.22 | 3504.49 | 19685860 | 55806819328 | 0.12 |
| 2021-04-12 | 3505.71 | 3477.07 | 3520.73 | 3465.65 | 24855006 | 67360431616 | 0.15 |
| 2021-04-13 | 3483.01 | 3461.46 | 3505.39 | 3448.57 | 21074331 | 58980495104 | 0.13 |
| 2021-04-14 | 3469.40 | 3469.17 | 3484.06 | 3442.23 | 19500313 | 60235405568 | 0.12 |
| 2021-04-15 | 3456.55 | 3431.49 | 3456.55 | 3399.76 | 21262701 | 64308250880 | 0.13 |
| 2021-04-16 | 3445.09 | 3448.10 | 3456.72 | 3411.10 | 18688056 | 54862649856 | 0.12 |
| 2021-04-19 | 3449.05 | 3513.40 | 3515.88 | 3426.82 | 27193465 | 77591568384 | 0.17 |
| 2021-04-20 | 3496.81 | 3510.12 | 3532.79 | 3491.89 | 21176621 | 66633946880 | 0.13 |
| 2021-04-21 | 3493.79 | 3516.10 | 3524.54 | 3488.49 | 20750102 | 59966861568 | 0.13 |
| 2021-04-22 | 3521.98 | 3487.43 | 3524.71 | 3477.06 | 22679141 | 58120695552 | 0.14 |
| 2021-04-23 | 3487.12 | 3524.02 | 3533.23 | 3482.86 | 20552367 | 64888233728 | 0.13 |
