| date | open | last | high | low | volume | amount | exchange |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 2021-04-23 | 14213.36 | 14351.86 | 14386.62 | 14208.40 | 339826974 | 4864836091047 | 4864836091047.04 |
| 2021-04-26 | 14419.85 | 14224.45 | 14529.43 | 14212.22 | 374636822 | 5365561052578 | 5365561052578.07 |
| 2021-04-27 | 14211.58 | 14264.08 | 14266.60 | 14106.83 | 332469465 | 4725223379544 | 4725223379544.05 |
| 2021-04-28 | 14238.56 | 14398.38 | 14398.96 | 14190.64 | 316299930 | 4532365021614 | 4532365021613.80 |
| 2021-04-29 | 14416.85 | 14464.08 | 14516.22 | 14330.09 | 321125477 | 4636023215935 | 4636023215935.34 |
| 2021-04-30 | 14437.17 | 14438.57 | 14522.46 | 14343.06 | 334698374 | 4831269503517 | 4831269503516.55 |
| 2021-05-06 | 14355.40 | 14210.60 | 14398.58 | 14088.04 | 340721677 | 4849289467213 | 4849289467212.65 |
| 2021-05-07 | 14243.71 | 13933.81 | 14280.04 | 13933.81 | 374631268 | 5263277103011 | 5263277103010.96 |
| 2021-05-10 | 13945.78 | 13917.97 | 14035.60 | 13828.82 | 371141629 | 5169061429371 | 5169061429371.10 |
| 2021-05-11 | 13814.28 | 13966.79 | 13996.70 | 13696.73 | 384836321 | 5344121932284 | 5344121932283.54 |
| 2021-05-12 | 13922.15 | 14064.87 | 14078.33 | 13872.10 | 350865061 | 4913900265811 | 4913900265811.10 |
| 2021-05-13 | 13907.18 | 13917.65 | 14027.55 | 13866.11 | 375178027 | 5228894930695 | 5228894930695.12 |
| 2021-05-14 | 13960.33 | 14208.78 | 14214.14 | 13872.63 | 393512074 | 5547936533824 | 5547936533823.57 |
| 2021-05-17 | 14234.70 | 14456.54 | 14538.76 | 14234.70 | 368414670 | 5308855394700 | 5308855394700.00 |
| 2021-05-18 | 14462.41 | 14450.60 | 14497.90 | 14345.99 | 318020479 | 4589511482620 | 4589511482620.24 |
| 2021-05-19 | 14399.76 | 14484.45 | 14544.20 | 14359.02 | 333265853 | 4819876284078 | 4819876284077.50 |
| 2021-05-20 | 14455.61 | 14535.10 | 14582.40 | 14431.80 | 363477660 | 5276399219546 | 5276399219546.00 |
| 2021-05-21 | 14582.07 | 14417.46 | 14634.60 | 14386.12 | 333801139 | 4833237986696 | 4833237986695.67 |
| 2021-05-24 | 14436.36 | 14506.61 | 14506.61 | 14295.48 | 346864639 | 5007418863686 | 5007418863686.43 |
| 2021-05-25 | 14533.95 | 14846.45 | 14862.19 | 14509.78 | 373859833 | 5510497038908 | 5510497038907.95 |
| 2021-05-26 | 14850.28 | 14793.68 | 14860.64 | 14762.20 | 387486578 | 5736935113823 | 5736935113822.85 |
| 2021-05-27 | 14796.05 | 14897.19 | 14955.30 | 14720.67 | 381108198 | 5662398895589 | 5662398895588.56 |
| 2021-05-28 | 14899.33 | 14852.88 | 14977.25 | 14778.82 | 406059488 | 6037962465739 | 6037962465739.20 |
| 2021-05-31 | 14874.89 | 14996.38 | 14996.38 | 14836.15 | 386280136 | 5772172483844 | 5772172483843.92 |
| 2021-06-01 | 14963.95 | 15034.78 | 15039.02 | 14820.74 | 408299575 | 6110140533940 | 6110140533940.17 |
| 2021-06-02 | 15044.94 | 14857.91 | 15051.21 | 14793.74 | 412423077 | 6145497023967 | 6145497023966.74 |
| 2021-06-03 | 14850.51 | 14761.13 | 14947.60 | 14759.82 | 381460448 | 5654331001637 | 5654331001636.80 |
| 2021-06-04 | 14704.19 | 14870.91 | 14989.21 | 14667.53 | 365385748 | 5423256233977 | 5423256233977.40 |
| 2021-06-07 | 14879.49 | 14862.60 | 14883.55 | 14760.20 | 368529441 | 5467300095483 | 5467300095483.45 |
| 2021-06-08 | 14867.95 | 14716.98 | 14973.81 | 14625.29 | 384769394 | 5683823748685 | 5683823748685.17 |
| 2021-06-09 | 14698.35 | 14718.40 | 14762.64 | 14641.83 | 374275396 | 5504701547302 | 5504701547302.17 |
| 2021-06-10 | 14715.14 | 14893.59 | 14940.30 | 14699.31 | 417002091 | 6190145839640 | 6190145839640.40 |
| 2021-06-11 | 14918.49 | 14801.24 | 14920.87 | 14738.62 | 452636325 | 6708180478006 | 6708180478005.75 |
| 2021-06-15 | 14806.69 | 14673.34 | 14829.97 | 14564.56 | 407939610 | 5992343233777 | 5992343233776.90 |
| 2021-06-16 | 14663.48 | 14295.93 | 14667.24 | 14290.23 | 378002707 | 5449967428985 | 5449967428984.60 |
| 2021-06-17 | 14291.94 | 14472.37 | 14489.51 | 14291.94 | 363403293 | 5239526874276 | 5239526874276.42 |
| 2021-06-18 | 14510.56 | 14583.67 | 14635.50 | 14449.06 | 401390198 | 5842666495337 | 5842666495336.51 |
| 2021-06-21 | 14563.05 | 14641.29 | 14721.69 | 14468.74 | 408885610 | 5974053189850 | 5974053189849.73 |
