| date | open | last | high | low | volume | amount | exchange |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 2021-04-22 | 6470.46 | 6485.21 | 6496.44 | 6463.14 | 118546167 | 768368440873 | 768368440873.31 |
| 2021-04-23 | 6478.93 | 6453.30 | 6478.93 | 6425.66 | 121669107 | 785085729901 | 785085729901.41 |
| 2021-04-26 | 6467.88 | 6431.09 | 6527.33 | 6427.76 | 133406111 | 862078293649 | 862078293648.66 |
| 2021-04-27 | 6423.79 | 6400.90 | 6429.86 | 6338.13 | 121314356 | 775153848528 | 775153848528.28 |
| 2021-04-28 | 6395.02 | 6437.25 | 6437.27 | 6366.01 | 121918028 | 781922491758 | 781922491758.28 |
| 2021-04-29 | 6419.04 | 6405.10 | 6441.85 | 6394.37 | 120927347 | 775600593459 | 775600593459.35 |
| 2021-04-30 | 6389.17 | 6382.14 | 6397.27 | 6348.80 | 130027676 | 829065564113 | 829065564113.32 |
| 2021-05-06 | 6385.32 | 6398.44 | 6420.42 | 6347.99 | 129283601 | 825986462609 | 825986462608.95 |
| 2021-05-07 | 6403.98 | 6320.25 | 6409.35 | 6320.07 | 153125255 | 972328525472 | 972328525471.95 |
| 2021-05-10 | 6330.15 | 6338.57 | 6351.42 | 6300.86 | 150515685 | 952806932161 | 952806932160.75 |
| 2021-05-11 | 6303.58 | 6343.86 | 6354.24 | 6239.26 | 149454823 | 943426595629 | 943426595629.09 |
| 2021-05-12 | 6321.98 | 6420.34 | 6420.34 | 6311.91 | 138850373 | 886448088472 | 886448088472.02 |
| 2021-05-13 | 6365.00 | 6375.01 | 6432.63 | 6354.23 | 153001739 | 977266477497 | 977266477497.31 |
| 2021-05-14 | 6395.51 | 6462.48 | 6462.50 | 6374.87 | 152664336 | 982132928383 | 982132928383.20 |
| 2021-05-17 | 6456.92 | 6457.28 | 6496.38 | 6438.87 | 146156637 | 944782322574 | 944782322573.87 |
| 2021-05-18 | 6451.07 | 6486.82 | 6486.92 | 6431.24 | 129048326 | 834726728354 | 834726728354.49 |
| 2021-05-19 | 6470.29 | 6488.95 | 6500.12 | 6455.82 | 133008427 | 862111410696 | 862111410696.01 |
| 2021-05-20 | 6455.72 | 6482.84 | 6505.52 | 6445.97 | 142946580 | 926023669364 | 926023669363.80 |
| 2021-05-21 | 6492.85 | 6480.37 | 6509.37 | 6468.45 | 130968375 | 849469174914 | 849469174913.75 |
| 2021-05-24 | 6480.55 | 6537.86 | 6537.86 | 6471.22 | 138109498 | 899872690279 | 899872690278.71 |
| 2021-05-25 | 6542.68 | 6615.71 | 6617.43 | 6532.90 | 149127618 | 982554154164 | 982554154164.24 |
| 2021-05-26 | 6618.18 | 6644.75 | 6666.21 | 6609.91 | 155716936 | 1034005612951 | 1034005612951.44 |
| 2021-05-27 | 6636.77 | 6705.05 | 6706.38 | 6630.03 | 154465323 | 1031903530764 | 1031903530763.86 |
| 2021-05-28 | 6709.89 | 6694.35 | 6735.55 | 6669.92 | 168672482 | 1130095509051 | 1130095509051.08 |
| 2021-05-31 | 6712.75 | 6814.36 | 6814.36 | 6712.75 | 161891755 | 1097705425860 | 1097705425859.95 |
| 2021-06-01 | 6810.47 | 6854.73 | 6854.75 | 6782.66 | 172711794 | 1179744754100 | 1179744754099.72 |
| 2021-06-02 | 6844.85 | 6759.46 | 6852.64 | 6742.03 | 171553765 | 1163942544933 | 1163942544933.15 |
| 2021-06-03 | 6754.78 | 6754.07 | 6824.98 | 6729.56 | 163047123 | 1103753477543 | 1103753477543.01 |
| 2021-06-04 | 6725.82 | 6785.80 | 6803.78 | 6718.76 | 159605578 | 1080441447974 | 1080441447973.51 |
| 2021-06-07 | 6811.04 | 6861.85 | 6861.85 | 6807.93 | 158871549 | 1087297287198 | 1087297287198.29 |
| 2021-06-08 | 6865.76 | 6809.86 | 6886.94 | 6779.93 | 167777357 | 1145177213134 | 1145177213134.20 |
| 2021-06-09 | 6807.48 | 6823.41 | 6834.04 | 6783.01 | 159067202 | 1083802259931 | 1083802259930.97 |
| 2021-06-10 | 6817.59 | 6898.21 | 6903.88 | 6808.66 | 178116699 | 1223706251305 | 1223706251304.75 |
